Epoch 0:  loss = 3.5609,  acc = 0.5015,  val_loss = 3.3468,  val_acc = 0.5737 
Epoch 1:  loss = 3.1411,  acc = 0.6544,  val_loss = 3.1826,  val_acc = 0.6323 
Epoch 2:  loss = 2.9398,  acc = 0.7234,  val_loss = 3.0912,  val_acc = 0.6605 
Epoch 3:  loss = 2.7861,  acc = 0.7779,  val_loss = 3.2519,  val_acc = 0.6092 
Epoch 4:  loss = 2.6574,  acc = 0.8224,  val_loss = 3.0892,  val_acc = 0.6572 
Epoch 5:  loss = 2.5393,  acc = 0.8637,  val_loss = 3.0498,  val_acc = 0.6710 
Epoch 6:  loss = 2.4367,  acc = 0.9002,  val_loss = 3.0170,  val_acc = 0.6814 
Epoch 7:  loss = 2.3465,  acc = 0.9312,  val_loss = 2.9827,  val_acc = 0.6948 
Epoch 8:  loss = 2.2663,  acc = 0.9556,  val_loss = 3.0233,  val_acc = 0.6835 
Epoch 9:  loss = 2.2013,  acc = 0.9728,  val_loss = 2.9610,  val_acc = 0.7008 
Epoch 10:  loss = 2.1457,  acc = 0.9856,  val_loss = 2.9464,  val_acc = 0.7047 
Epoch 11:  loss = 2.1026,  acc = 0.9926,  val_loss = 2.9660,  val_acc = 0.7008 
Epoch 12:  loss = 2.0673,  acc = 0.9966,  val_loss = 2.9360,  val_acc = 0.7100 
Epoch 13:  loss = 2.0393,  acc = 0.9980,  val_loss = 2.9363,  val_acc = 0.7102 
Epoch 14:  loss = 2.0158,  acc = 0.9991,  val_loss = 2.9352,  val_acc = 0.7099 
Epoch 15:  loss = 1.9954,  acc = 0.9995,  val_loss = 2.9259,  val_acc = 0.7135 
Epoch 16:  loss = 1.9773,  acc = 0.9998,  val_loss = 2.9065,  val_acc = 0.7178 
Epoch 17:  loss = 1.9596,  acc = 0.9998,  val_loss = 2.9051,  val_acc = 0.7157 
Epoch 18:  loss = 1.9446,  acc = 0.9998,  val_loss = 2.9376,  val_acc = 0.7088 
Epoch 19:  loss = 1.9289,  acc = 0.9999,  val_loss = 2.8878,  val_acc = 0.7207 
Epoch 20:  loss = 1.9139,  acc = 1.0000,  val_loss = 2.9095,  val_acc = 0.7149 
Epoch 21:  loss = 1.9008,  acc = 0.9998,  val_loss = 2.8829,  val_acc = 0.7160 
Epoch 22:  loss = 1.8864,  acc = 1.0000,  val_loss = 2.8554,  val_acc = 0.7195 
Epoch 23:  loss = 1.8726,  acc = 1.0000,  val_loss = 2.8595,  val_acc = 0.7192 
Epoch 24:  loss = 1.8593,  acc = 1.0000,  val_loss = 2.8385,  val_acc = 0.7201 
Epoch 25:  loss = 1.8461,  acc = 1.0000,  val_loss = 2.8737,  val_acc = 0.7084 
Epoch 26:  loss = 1.8335,  acc = 1.0000,  val_loss = 2.8281,  val_acc = 0.7184 
Epoch 27:  loss = 1.8204,  acc = 1.0000,  val_loss = 2.8120,  val_acc = 0.7196 
Epoch 28:  loss = 1.8081,  acc = 1.0000,  val_loss = 2.8094,  val_acc = 0.7201 
Epoch 29:  loss = 1.7956,  acc = 1.0000,  val_loss = 2.8283,  val_acc = 0.7164 
Epoch 30:  loss = 1.7875,  acc = 1.0000,  val_loss = 2.7946,  val_acc = 0.7211 
Epoch 31:  loss = 1.7848,  acc = 1.0000,  val_loss = 2.7913,  val_acc = 0.7227 
Epoch 32:  loss = 1.7822,  acc = 1.0000,  val_loss = 2.7856,  val_acc = 0.7204 
Epoch 33:  loss = 1.7796,  acc = 1.0000,  val_loss = 2.7850,  val_acc = 0.7217 
Epoch 34:  loss = 1.7771,  acc = 1.0000,  val_loss = 2.7819,  val_acc = 0.7202 
Epoch 35:  loss = 1.7749,  acc = 1.0000,  val_loss = 2.7805,  val_acc = 0.7228 
Epoch 36:  loss = 1.7723,  acc = 1.0000,  val_loss = 2.7781,  val_acc = 0.7216 
Epoch 37:  loss = 1.7701,  acc = 1.0000,  val_loss = 2.7793,  val_acc = 0.7199 
Epoch 38:  loss = 1.7677,  acc = 1.0000,  val_loss = 2.7751,  val_acc = 0.7211 
Epoch 39:  loss = 1.7652,  acc = 1.0000,  val_loss = 2.7745,  val_acc = 0.7224 
Epoch 40:  loss = 1.7625,  acc = 1.0000,  val_loss = 2.7721,  val_acc = 0.7212 
Epoch 41:  loss = 1.7603,  acc = 1.0000,  val_loss = 2.7686,  val_acc = 0.7227 
Epoch 42:  loss = 1.7579,  acc = 1.0000,  val_loss = 2.7683,  val_acc = 0.7215 
Epoch 43:  loss = 1.7553,  acc = 1.0000,  val_loss = 2.7621,  val_acc = 0.7202 
Epoch 44:  loss = 1.7530,  acc = 1.0000,  val_loss = 2.7644,  val_acc = 0.7217 
Epoch 45:  loss = 1.7506,  acc = 1.0000,  val_loss = 2.7627,  val_acc = 0.7214 
Epoch 46:  loss = 1.7482,  acc = 1.0000,  val_loss = 2.7640,  val_acc = 0.7214 
Epoch 47:  loss = 1.7459,  acc = 1.0000,  val_loss = 2.7616,  val_acc = 0.7202 
Epoch 48:  loss = 1.7437,  acc = 1.0000,  val_loss = 2.7579,  val_acc = 0.7214 
