Epoch 0:  loss = 4.1695,  acc = 0.1651,  val_loss = 2.3096,  val_acc = 0.1061 
Epoch 1:  loss = 2.3085,  acc = 0.1561,  val_loss = 2.3317,  val_acc = 0.1000 
Epoch 2:  loss = 2.3082,  acc = 0.1476,  val_loss = 2.3039,  val_acc = 0.1222 
Epoch 3:  loss = 2.3098,  acc = 0.1461,  val_loss = 2.3091,  val_acc = 0.1000 
Epoch 4:  loss = 2.3045,  acc = 0.0989,  val_loss = 2.3041,  val_acc = 0.1000 
Epoch 5:  loss = 2.3043,  acc = 0.0982,  val_loss = 2.3040,  val_acc = 0.1000 
Epoch 6:  loss = 2.3042,  acc = 0.1002,  val_loss = 2.3040,  val_acc = 0.1000 
Epoch 7:  loss = 2.3044,  acc = 0.0978,  val_loss = 2.3040,  val_acc = 0.1000 
Epoch 8:  loss = 2.3040,  acc = 0.1010,  val_loss = 2.3032,  val_acc = 0.1000 
Epoch 9:  loss = 2.3042,  acc = 0.0985,  val_loss = 2.3035,  val_acc = 0.1000 
Epoch 10:  loss = 2.3042,  acc = 0.0984,  val_loss = 2.3035,  val_acc = 0.1000 
Epoch 11:  loss = 2.3042,  acc = 0.0979,  val_loss = 2.3033,  val_acc = 0.1000 
Epoch 12:  loss = 2.3041,  acc = 0.1013,  val_loss = 2.3034,  val_acc = 0.1000 
Epoch 13:  loss = 2.3042,  acc = 0.0982,  val_loss = 2.3041,  val_acc = 0.1000 
Epoch 14:  loss = 2.3043,  acc = 0.0998,  val_loss = 2.3048,  val_acc = 0.1000 
Epoch 15:  loss = 2.3040,  acc = 0.1001,  val_loss = 2.3040,  val_acc = 0.1000 
Epoch 16:  loss = 2.3042,  acc = 0.1003,  val_loss = 2.3055,  val_acc = 0.1000 
Epoch 17:  loss = 2.3042,  acc = 0.0993,  val_loss = 2.3056,  val_acc = 0.1000 
Epoch 18:  loss = 2.3044,  acc = 0.0997,  val_loss = 2.3039,  val_acc = 0.1000 
Epoch 19:  loss = 2.3041,  acc = 0.1000,  val_loss = 2.3040,  val_acc = 0.1000 
Epoch 20:  loss = 2.3041,  acc = 0.0994,  val_loss = 2.3043,  val_acc = 0.1000 
Epoch 21:  loss = 2.3043,  acc = 0.0962,  val_loss = 2.3034,  val_acc = 0.1000 
Epoch 22:  loss = 2.3042,  acc = 0.0998,  val_loss = 2.3048,  val_acc = 0.1000 
Epoch 23:  loss = 2.3043,  acc = 0.0972,  val_loss = 2.3028,  val_acc = 0.1000 
Epoch 24:  loss = 2.3042,  acc = 0.1011,  val_loss = 2.3053,  val_acc = 0.1000 
Epoch 25:  loss = 2.3041,  acc = 0.1010,  val_loss = 2.3034,  val_acc = 0.1000 
Epoch 26:  loss = 2.3043,  acc = 0.1016,  val_loss = 2.3038,  val_acc = 0.1000 
Epoch 27:  loss = 2.3041,  acc = 0.1017,  val_loss = 2.3046,  val_acc = 0.1000 
Epoch 28:  loss = 2.3046,  acc = 0.0985,  val_loss = 2.3032,  val_acc = 0.1000 
Epoch 29:  loss = 2.3044,  acc = 0.0976,  val_loss = 2.3035,  val_acc = 0.1000 
Epoch 30:  loss = 2.3030,  acc = 0.0985,  val_loss = 2.3028,  val_acc = 0.1000 
Epoch 31:  loss = 2.3030,  acc = 0.0986,  val_loss = 2.3027,  val_acc = 0.1000 
Epoch 32:  loss = 2.3029,  acc = 0.1000,  val_loss = 2.3030,  val_acc = 0.1000 
Epoch 33:  loss = 2.3030,  acc = 0.1016,  val_loss = 2.3028,  val_acc = 0.1000 
Epoch 34:  loss = 2.3030,  acc = 0.0969,  val_loss = 2.3028,  val_acc = 0.1000 
Epoch 35:  loss = 2.3031,  acc = 0.0986,  val_loss = 2.3027,  val_acc = 0.1000 
Epoch 36:  loss = 2.3030,  acc = 0.0993,  val_loss = 2.3027,  val_acc = 0.1000 
Epoch 37:  loss = 2.3030,  acc = 0.1011,  val_loss = 2.3027,  val_acc = 0.1000 
