Epoch 0:  loss = 10.5561,  acc = 0.1098,  val_loss = 2.3332,  val_acc = 0.1111 
Epoch 1:  loss = 2.3040,  acc = 0.1099,  val_loss = 2.2987,  val_acc = 0.1111 
Epoch 2:  loss = 2.2992,  acc = 0.1071,  val_loss = 2.2986,  val_acc = 0.1111 
Epoch 3:  loss = 2.2993,  acc = 0.1065,  val_loss = 2.2987,  val_acc = 0.1111 
Epoch 4:  loss = 2.2992,  acc = 0.1124,  val_loss = 2.2987,  val_acc = 0.1111 
Epoch 5:  loss = 2.2993,  acc = 0.1097,  val_loss = 2.2987,  val_acc = 0.1111 
Epoch 6:  loss = 2.2993,  acc = 0.1070,  val_loss = 2.2987,  val_acc = 0.1111 
Epoch 7:  loss = 2.2993,  acc = 0.1092,  val_loss = 2.2990,  val_acc = 0.1111 
Epoch 8:  loss = 2.2993,  acc = 0.1133,  val_loss = 2.2988,  val_acc = 0.1111 
Epoch 9:  loss = 2.2992,  acc = 0.1109,  val_loss = 2.2989,  val_acc = 0.1111 
Epoch 10:  loss = 2.2993,  acc = 0.1073,  val_loss = 2.2987,  val_acc = 0.1111 
Epoch 11:  loss = 2.2993,  acc = 0.1082,  val_loss = 2.2992,  val_acc = 0.1111 
Epoch 12:  loss = 2.2993,  acc = 0.1106,  val_loss = 2.2988,  val_acc = 0.1111 
Epoch 13:  loss = 2.2993,  acc = 0.1066,  val_loss = 2.2987,  val_acc = 0.1111 
Epoch 14:  loss = 2.2993,  acc = 0.1113,  val_loss = 2.2989,  val_acc = 0.1111 
Epoch 15:  loss = 2.2993,  acc = 0.1076,  val_loss = 2.2990,  val_acc = 0.1111 
Epoch 16:  loss = 2.2993,  acc = 0.1106,  val_loss = 2.2987,  val_acc = 0.1111 
Epoch 17:  loss = 2.2993,  acc = 0.1085,  val_loss = 2.2986,  val_acc = 0.1111 
Epoch 18:  loss = 2.2992,  acc = 0.1101,  val_loss = 2.2986,  val_acc = 0.1111 
Epoch 19:  loss = 2.2993,  acc = 0.1094,  val_loss = 2.2989,  val_acc = 0.1111 
Epoch 20:  loss = 2.2993,  acc = 0.1128,  val_loss = 2.2988,  val_acc = 0.1111 
Epoch 21:  loss = 2.2991,  acc = 0.1034,  val_loss = 2.2990,  val_acc = 0.1111 
Epoch 22:  loss = 2.2993,  acc = 0.1079,  val_loss = 2.2989,  val_acc = 0.1111 
Epoch 23:  loss = 2.2993,  acc = 0.1117,  val_loss = 2.2988,  val_acc = 0.1111 
Epoch 24:  loss = 2.2993,  acc = 0.1110,  val_loss = 2.2986,  val_acc = 0.1111 
Epoch 25:  loss = 2.2993,  acc = 0.1099,  val_loss = 2.2987,  val_acc = 0.1111 
Epoch 26:  loss = 2.2992,  acc = 0.1105,  val_loss = 2.2986,  val_acc = 0.1111 
Epoch 27:  loss = 2.2992,  acc = 0.1113,  val_loss = 2.2988,  val_acc = 0.1111 
Epoch 28:  loss = 2.2993,  acc = 0.1104,  val_loss = 2.2987,  val_acc = 0.1111 
Epoch 29:  loss = 2.2993,  acc = 0.1086,  val_loss = 2.2985,  val_acc = 0.1111 
Epoch 30:  loss = 2.2989,  acc = 0.1113,  val_loss = 2.2985,  val_acc = 0.1111 
Epoch 31:  loss = 2.2989,  acc = 0.1083,  val_loss = 2.2985,  val_acc = 0.1111 
Epoch 32:  loss = 2.2989,  acc = 0.1081,  val_loss = 2.2985,  val_acc = 0.1111 
Epoch 33:  loss = 2.2989,  acc = 0.1085,  val_loss = 2.2985,  val_acc = 0.1111 
Epoch 34:  loss = 2.2989,  acc = 0.1080,  val_loss = 2.2984,  val_acc = 0.1111 
Epoch 35:  loss = 2.2989,  acc = 0.1101,  val_loss = 2.2984,  val_acc = 0.1111 
Epoch 36:  loss = 2.2989,  acc = 0.1084,  val_loss = 2.2985,  val_acc = 0.1111 
