weight decay = 0.1000,  momentum = 0.9000, learning rate = 0.1000, iterations = 1, val_acc_mean = 0.1111, val_acc_std = 0.0000
weight decay = 0.1000,  momentum = 0.9000, learning rate = 0.0100, iterations = 1, val_acc_mean = 0.1111, val_acc_std = 0.0000
weight decay = 0.1000,  momentum = 0.9000, learning rate = 0.0010, iterations = 1, val_acc_mean = 0.3789, val_acc_std = 0.0000
weight decay = 0.1000,  momentum = 0.0900, learning rate = 0.1000, iterations = 1, val_acc_mean = 0.1111, val_acc_std = 0.0000
weight decay = 0.1000,  momentum = 0.0900, learning rate = 0.0100, iterations = 1, val_acc_mean = 0.4393, val_acc_std = 0.0000
weight decay = 0.1000,  momentum = 0.0900, learning rate = 0.0010, iterations = 5, val_acc_mean = 0.8451, val_acc_std = 0.0015
weight decay = 0.1000,  momentum = 0.0090, learning rate = 0.1000, iterations = 1, val_acc_mean = 0.1111, val_acc_std = 0.0000
weight decay = 0.1000,  momentum = 0.0090, learning rate = 0.0100, iterations = 1, val_acc_mean = 0.4761, val_acc_std = 0.0000
weight decay = 0.1000,  momentum = 0.0090, learning rate = 0.0010, iterations = 3, val_acc_mean = 0.8441, val_acc_std = 0.0100
weight decay = 0.0100,  momentum = 0.9000, learning rate = 0.1000, iterations = 1, val_acc_mean = 0.1111, val_acc_std = 0.0000
weight decay = 0.0100,  momentum = 0.9000, learning rate = 0.0100, iterations = 1, val_acc_mean = 0.6722, val_acc_std = 0.0000
weight decay = 0.0100,  momentum = 0.9000, learning rate = 0.0010, iterations = 5, val_acc_mean = 0.8594, val_acc_std = 0.0027
weight decay = 0.0100,  momentum = 0.0900, learning rate = 0.1000, iterations = 1, val_acc_mean = 0.7130, val_acc_std = 0.0000
weight decay = 0.0100,  momentum = 0.0900, learning rate = 0.0100, iterations = 5, val_acc_mean = 0.8637, val_acc_std = 0.0041
weight decay = 0.0100,  momentum = 0.0900, learning rate = 0.0010, iterations = 1, val_acc_mean = 0.8369, val_acc_std = 0.0000
weight decay = 0.0100,  momentum = 0.0090, learning rate = 0.1000, iterations = 1, val_acc_mean = 0.6950, val_acc_std = 0.0000
weight decay = 0.0100,  momentum = 0.0090, learning rate = 0.0100, iterations = 5, val_acc_mean = 0.8608, val_acc_std = 0.0017
weight decay = 0.0100,  momentum = 0.0090, learning rate = 0.0010, iterations = 3, val_acc_mean = 0.8429, val_acc_std = 0.0029
weight decay = 0.0010,  momentum = 0.9000, learning rate = 0.1000, iterations = 1, val_acc_mean = 0.6967, val_acc_std = 0.0000
weight decay = 0.0010,  momentum = 0.9000, learning rate = 0.0100, iterations = 5, val_acc_mean = 0.8484, val_acc_std = 0.0081
weight decay = 0.0010,  momentum = 0.9000, learning rate = 0.0010, iterations = 5, val_acc_mean = 0.8510, val_acc_std = 0.0024
weight decay = 0.0010,  momentum = 0.0900, learning rate = 0.1000, iterations = 1, val_acc_mean = 0.8352, val_acc_std = 0.0000
weight decay = 0.0010,  momentum = 0.0900, learning rate = 0.0100, iterations = 5, val_acc_mean = 0.8585, val_acc_std = 0.0065
weight decay = 0.0010,  momentum = 0.0900, learning rate = 0.0010, iterations = 2, val_acc_mean = 0.8416, val_acc_std = 0.0027
weight decay = 0.0010,  momentum = 0.0090, learning rate = 0.1000, iterations = 5, val_acc_mean = 0.8462, val_acc_std = 0.0055
weight decay = 0.0010,  momentum = 0.0090, learning rate = 0.0100, iterations = 5, val_acc_mean = 0.8578, val_acc_std = 0.0020
weight decay = 0.0010,  momentum = 0.0090, learning rate = 0.0010, iterations = 1, val_acc_mean = 0.8385, val_acc_std = 0.0000
