Epoch 0:  loss = 24.0905,  acc = 0.1450,  val_loss = 23.7102,  val_acc = 0.1145 
Epoch 1:  loss = 22.4087,  acc = 0.7250,  val_loss = 23.6211,  val_acc = 0.1528 
Epoch 2:  loss = 21.8581,  acc = 0.9650,  val_loss = 23.5712,  val_acc = 0.1800 
Epoch 3:  loss = 21.5884,  acc = 1.0000,  val_loss = 23.5088,  val_acc = 0.1908 
Epoch 4:  loss = 21.4469,  acc = 1.0000,  val_loss = 23.4364,  val_acc = 0.2044 
Epoch 5:  loss = 21.3312,  acc = 1.0000,  val_loss = 23.3620,  val_acc = 0.2114 
Epoch 6:  loss = 21.2467,  acc = 1.0000,  val_loss = 23.2848,  val_acc = 0.2200 
Epoch 7:  loss = 21.1635,  acc = 1.0000,  val_loss = 23.2013,  val_acc = 0.2291 
Epoch 8:  loss = 21.0784,  acc = 1.0000,  val_loss = 23.1107,  val_acc = 0.2369 
Epoch 9:  loss = 21.0008,  acc = 1.0000,  val_loss = 23.0156,  val_acc = 0.2414 
Epoch 10:  loss = 20.9207,  acc = 1.0000,  val_loss = 22.9208,  val_acc = 0.2474 
Epoch 11:  loss = 20.8423,  acc = 1.0000,  val_loss = 22.8202,  val_acc = 0.2580 
Epoch 12:  loss = 20.7639,  acc = 1.0000,  val_loss = 22.7217,  val_acc = 0.2679 
Epoch 13:  loss = 20.6805,  acc = 1.0000,  val_loss = 22.6267,  val_acc = 0.2760 
Epoch 14:  loss = 20.6049,  acc = 1.0000,  val_loss = 22.5314,  val_acc = 0.2837 
Epoch 15:  loss = 20.5211,  acc = 1.0000,  val_loss = 22.4402,  val_acc = 0.2913 
Epoch 16:  loss = 20.4438,  acc = 1.0000,  val_loss = 22.3493,  val_acc = 0.2964 
Epoch 17:  loss = 20.3600,  acc = 1.0000,  val_loss = 22.2570,  val_acc = 0.3021 
Epoch 18:  loss = 20.2837,  acc = 1.0000,  val_loss = 22.1691,  val_acc = 0.3069 
Epoch 19:  loss = 20.2000,  acc = 1.0000,  val_loss = 22.0803,  val_acc = 0.3102 
Epoch 20:  loss = 20.1209,  acc = 1.0000,  val_loss = 21.9951,  val_acc = 0.3146 
Epoch 21:  loss = 20.0405,  acc = 1.0000,  val_loss = 21.9102,  val_acc = 0.3183 
Epoch 22:  loss = 19.9607,  acc = 1.0000,  val_loss = 21.8260,  val_acc = 0.3218 
Epoch 23:  loss = 19.8815,  acc = 1.0000,  val_loss = 21.7445,  val_acc = 0.3229 
Epoch 24:  loss = 19.8032,  acc = 1.0000,  val_loss = 21.6614,  val_acc = 0.3260 
Epoch 25:  loss = 19.7212,  acc = 1.0000,  val_loss = 21.5786,  val_acc = 0.3276 
Epoch 26:  loss = 19.6443,  acc = 1.0000,  val_loss = 21.4969,  val_acc = 0.3287 
Epoch 27:  loss = 19.5651,  acc = 1.0000,  val_loss = 21.4161,  val_acc = 0.3294 
Epoch 28:  loss = 19.4863,  acc = 1.0000,  val_loss = 21.3353,  val_acc = 0.3292 
Epoch 29:  loss = 19.4111,  acc = 1.0000,  val_loss = 21.2573,  val_acc = 0.3299 
Epoch 30:  loss = 19.3348,  acc = 1.0000,  val_loss = 21.1934,  val_acc = 0.3310 
Epoch 31:  loss = 19.2727,  acc = 1.0000,  val_loss = 21.1368,  val_acc = 0.3326 
Epoch 32:  loss = 19.2197,  acc = 1.0000,  val_loss = 21.0866,  val_acc = 0.3351 
Epoch 33:  loss = 19.1757,  acc = 1.0000,  val_loss = 21.0430,  val_acc = 0.3373 
Epoch 34:  loss = 19.1375,  acc = 1.0000,  val_loss = 21.0037,  val_acc = 0.3402 
Epoch 35:  loss = 19.1014,  acc = 1.0000,  val_loss = 20.9697,  val_acc = 0.3404 
Epoch 36:  loss = 19.0706,  acc = 1.0000,  val_loss = 20.9391,  val_acc = 0.3409 
Epoch 37:  loss = 19.0414,  acc = 1.0000,  val_loss = 20.9110,  val_acc = 0.3430 
Epoch 38:  loss = 19.0174,  acc = 1.0000,  val_loss = 20.8873,  val_acc = 0.3441 
Epoch 39:  loss = 18.9935,  acc = 1.0000,  val_loss = 20.8653,  val_acc = 0.3459 
Epoch 40:  loss = 18.9725,  acc = 1.0000,  val_loss = 20.8433,  val_acc = 0.3472 
Epoch 41:  loss = 18.9504,  acc = 1.0000,  val_loss = 20.8226,  val_acc = 0.3473 
Epoch 42:  loss = 18.9308,  acc = 1.0000,  val_loss = 20.8023,  val_acc = 0.3471 
Epoch 43:  loss = 18.9125,  acc = 1.0000,  val_loss = 20.7845,  val_acc = 0.3481 
Epoch 44:  loss = 18.8961,  acc = 1.0000,  val_loss = 20.7654,  val_acc = 0.3471 
Epoch 45:  loss = 18.8775,  acc = 1.0000,  val_loss = 20.7503,  val_acc = 0.3483 
Epoch 46:  loss = 18.8597,  acc = 1.0000,  val_loss = 20.7335,  val_acc = 0.3489 
Epoch 47:  loss = 18.8456,  acc = 1.0000,  val_loss = 20.7186,  val_acc = 0.3488 
Epoch 48:  loss = 18.8266,  acc = 1.0000,  val_loss = 20.7022,  val_acc = 0.3488 
Epoch 49:  loss = 18.8108,  acc = 1.0000,  val_loss = 20.6857,  val_acc = 0.3493 
Epoch 50:  loss = 18.7956,  acc = 1.0000,  val_loss = 20.6702,  val_acc = 0.3486 
Epoch 51:  loss = 18.7798,  acc = 1.0000,  val_loss = 20.6539,  val_acc = 0.3487 
Epoch 52:  loss = 18.7654,  acc = 1.0000,  val_loss = 20.6391,  val_acc = 0.3489 
Epoch 53:  loss = 18.7490,  acc = 1.0000,  val_loss = 20.6250,  val_acc = 0.3492 
Epoch 54:  loss = 18.7337,  acc = 1.0000,  val_loss = 20.6085,  val_acc = 0.3495 
Epoch 55:  loss = 18.7185,  acc = 1.0000,  val_loss = 20.5935,  val_acc = 0.3496 
Epoch 56:  loss = 18.7041,  acc = 1.0000,  val_loss = 20.5768,  val_acc = 0.3484 
Epoch 57:  loss = 18.6891,  acc = 1.0000,  val_loss = 20.5621,  val_acc = 0.3488 
Epoch 58:  loss = 18.6741,  acc = 1.0000,  val_loss = 20.5471,  val_acc = 0.3491 
Epoch 59:  loss = 18.6580,  acc = 1.0000,  val_loss = 20.5319,  val_acc = 0.3491 
Epoch 60:  loss = 18.6438,  acc = 1.0000,  val_loss = 20.5205,  val_acc = 0.3491 
Epoch 61:  loss = 18.6317,  acc = 1.0000,  val_loss = 20.5096,  val_acc = 0.3496 
Epoch 62:  loss = 18.6214,  acc = 1.0000,  val_loss = 20.5016,  val_acc = 0.3498 
Epoch 63:  loss = 18.6134,  acc = 1.0000,  val_loss = 20.4930,  val_acc = 0.3490 
Epoch 64:  loss = 18.6065,  acc = 1.0000,  val_loss = 20.4870,  val_acc = 0.3495 
Epoch 65:  loss = 18.5992,  acc = 1.0000,  val_loss = 20.4805,  val_acc = 0.3499 
Epoch 66:  loss = 18.5923,  acc = 1.0000,  val_loss = 20.4742,  val_acc = 0.3482 
Epoch 67:  loss = 18.5899,  acc = 1.0000,  val_loss = 20.4700,  val_acc = 0.3492 
Epoch 68:  loss = 18.5819,  acc = 1.0000,  val_loss = 20.4649,  val_acc = 0.3488 
Epoch 69:  loss = 18.5800,  acc = 1.0000,  val_loss = 20.4614,  val_acc = 0.3478 
Epoch 70:  loss = 18.5742,  acc = 1.0000,  val_loss = 20.4574,  val_acc = 0.3486 
Epoch 71:  loss = 18.5713,  acc = 1.0000,  val_loss = 20.4550,  val_acc = 0.3482 
Epoch 72:  loss = 18.5656,  acc = 1.0000,  val_loss = 20.4507,  val_acc = 0.3493 
Epoch 73:  loss = 18.5621,  acc = 1.0000,  val_loss = 20.4469,  val_acc = 0.3476 
Epoch 74:  loss = 18.5583,  acc = 1.0000,  val_loss = 20.4434,  val_acc = 0.3474 
Epoch 75:  loss = 18.5562,  acc = 1.0000,  val_loss = 20.4409,  val_acc = 0.3491 
Epoch 76:  loss = 18.5517,  acc = 1.0000,  val_loss = 20.4369,  val_acc = 0.3491 
Epoch 77:  loss = 18.5495,  acc = 1.0000,  val_loss = 20.4353,  val_acc = 0.3482 
Epoch 78:  loss = 18.5469,  acc = 1.0000,  val_loss = 20.4331,  val_acc = 0.3492 
