Epoch 0:  loss = 4.9903,  acc = 0.2880,  val_loss = 3.1394,  val_acc = 0.1700 
Epoch 1:  loss = 3.9004,  acc = 0.2455,  val_loss = 4.2190,  val_acc = 0.1111 
Epoch 2:  loss = 2.7846,  acc = 0.2537,  val_loss = 3.0634,  val_acc = 0.1111 
Epoch 3:  loss = 2.6386,  acc = 0.2431,  val_loss = 4.8965,  val_acc = 0.1969 
Epoch 4:  loss = 2.7374,  acc = 0.2413,  val_loss = 2.4426,  val_acc = 0.1111 
Epoch 5:  loss = 2.9079,  acc = 0.2441,  val_loss = 3.8530,  val_acc = 0.1294 
Epoch 6:  loss = 2.7068,  acc = 0.2405,  val_loss = 2.6500,  val_acc = 0.1111 
Epoch 7:  loss = 2.6010,  acc = 0.2236,  val_loss = 2.7527,  val_acc = 0.1180 
Epoch 8:  loss = 2.6178,  acc = 0.2303,  val_loss = 2.7520,  val_acc = 0.1361 
Epoch 9:  loss = 3.3563,  acc = 0.2428,  val_loss = 2.5164,  val_acc = 0.1702 
Epoch 10:  loss = 2.5650,  acc = 0.2385,  val_loss = 2.4161,  val_acc = 0.1976 
Epoch 11:  loss = 2.4689,  acc = 0.1935,  val_loss = 2.6583,  val_acc = 0.0926 
Epoch 12:  loss = 2.3979,  acc = 0.2039,  val_loss = 2.5148,  val_acc = 0.1435 
Epoch 13:  loss = 2.3904,  acc = 0.1987,  val_loss = 2.3401,  val_acc = 0.1093 
Epoch 14:  loss = 2.4280,  acc = 0.2095,  val_loss = 2.6123,  val_acc = 0.2046 
Epoch 15:  loss = 2.3996,  acc = 0.2025,  val_loss = 2.4284,  val_acc = 0.1111 
Epoch 16:  loss = 2.3945,  acc = 0.1790,  val_loss = 2.3003,  val_acc = 0.1111 
Epoch 17:  loss = 2.3022,  acc = 0.1095,  val_loss = 2.3010,  val_acc = 0.1111 
Epoch 18:  loss = 2.3024,  acc = 0.1081,  val_loss = 2.3026,  val_acc = 0.1111 
Epoch 19:  loss = 2.3023,  acc = 0.1056,  val_loss = 2.3004,  val_acc = 0.1111 
Epoch 20:  loss = 2.3024,  acc = 0.1081,  val_loss = 2.3000,  val_acc = 0.1111 
Epoch 21:  loss = 2.3021,  acc = 0.1076,  val_loss = 2.3021,  val_acc = 0.1111 
Epoch 22:  loss = 2.3020,  acc = 0.1100,  val_loss = 2.3020,  val_acc = 0.1111 
Epoch 23:  loss = 2.3016,  acc = 0.1108,  val_loss = 2.3067,  val_acc = 0.1111 
Epoch 24:  loss = 2.3023,  acc = 0.1075,  val_loss = 2.3007,  val_acc = 0.1111 
Epoch 25:  loss = 2.3017,  acc = 0.1084,  val_loss = 2.3016,  val_acc = 0.1111 
Epoch 26:  loss = 2.3020,  acc = 0.1083,  val_loss = 2.3024,  val_acc = 0.1111 
Epoch 27:  loss = 2.3019,  acc = 0.1132,  val_loss = 2.3069,  val_acc = 0.1111 
Epoch 28:  loss = 2.3019,  acc = 0.1076,  val_loss = 2.3023,  val_acc = 0.1111 
Epoch 29:  loss = 2.3021,  acc = 0.1076,  val_loss = 2.3017,  val_acc = 0.1111 
Epoch 30:  loss = 2.2998,  acc = 0.1091,  val_loss = 2.2989,  val_acc = 0.1111 
Epoch 31:  loss = 2.2996,  acc = 0.1090,  val_loss = 2.2993,  val_acc = 0.1111 
Epoch 32:  loss = 2.2996,  acc = 0.1111,  val_loss = 2.2992,  val_acc = 0.1111 
Epoch 33:  loss = 2.2997,  acc = 0.1107,  val_loss = 2.2992,  val_acc = 0.1111 
Epoch 34:  loss = 2.2997,  acc = 0.1084,  val_loss = 2.2987,  val_acc = 0.1111 
Epoch 35:  loss = 2.2995,  acc = 0.1085,  val_loss = 2.2994,  val_acc = 0.1111 
Epoch 36:  loss = 2.2995,  acc = 0.1101,  val_loss = 2.2988,  val_acc = 0.1111 
Epoch 37:  loss = 2.2995,  acc = 0.1119,  val_loss = 2.2992,  val_acc = 0.1111 
Epoch 38:  loss = 2.2996,  acc = 0.1089,  val_loss = 2.2985,  val_acc = 0.1111 
Epoch 39:  loss = 2.2995,  acc = 0.1103,  val_loss = 2.2990,  val_acc = 0.1111 
Epoch 40:  loss = 2.2995,  acc = 0.1118,  val_loss = 2.2986,  val_acc = 0.1111 
Epoch 41:  loss = 2.2995,  acc = 0.1102,  val_loss = 2.2999,  val_acc = 0.1111 
Epoch 42:  loss = 2.2996,  acc = 0.1102,  val_loss = 2.2988,  val_acc = 0.1111 
Epoch 43:  loss = 2.2997,  acc = 0.1091,  val_loss = 2.2988,  val_acc = 0.1111 
Epoch 44:  loss = 2.2996,  acc = 0.1084,  val_loss = 2.2990,  val_acc = 0.1111 
Epoch 45:  loss = 2.2995,  acc = 0.1130,  val_loss = 2.2996,  val_acc = 0.1111 
Epoch 46:  loss = 2.2996,  acc = 0.1098,  val_loss = 2.2991,  val_acc = 0.1111 
Epoch 47:  loss = 2.2996,  acc = 0.1100,  val_loss = 2.2991,  val_acc = 0.1111 
Epoch 48:  loss = 2.2997,  acc = 0.1068,  val_loss = 2.2991,  val_acc = 0.1111 
Epoch 49:  loss = 2.2995,  acc = 0.1084,  val_loss = 2.2988,  val_acc = 0.1111 
Epoch 50:  loss = 2.2995,  acc = 0.1102,  val_loss = 2.2988,  val_acc = 0.1111 
Epoch 51:  loss = 2.2996,  acc = 0.1087,  val_loss = 2.2997,  val_acc = 0.1111 
