Epoch 0:  loss = 216.9888,  acc = 0.1528,  val_loss = 216.4899,  val_acc = 0.1470 
Epoch 1:  loss = 215.5341,  acc = 0.4306,  val_loss = 215.5700,  val_acc = 0.1789 
Epoch 2:  loss = 214.0471,  acc = 0.7037,  val_loss = 214.3841,  val_acc = 0.2054 
Epoch 3:  loss = 212.6064,  acc = 0.8056,  val_loss = 213.0362,  val_acc = 0.2069 
Epoch 4:  loss = 210.9713,  acc = 0.8981,  val_loss = 211.5418,  val_acc = 0.2285 
Epoch 5:  loss = 209.3114,  acc = 0.9306,  val_loss = 209.8996,  val_acc = 0.2817 
Epoch 6:  loss = 207.6910,  acc = 0.9444,  val_loss = 208.2028,  val_acc = 0.2919 
Epoch 7:  loss = 206.0222,  acc = 0.9630,  val_loss = 206.4718,  val_acc = 0.3193 
Epoch 8:  loss = 204.4943,  acc = 0.9259,  val_loss = 204.7282,  val_acc = 0.3646 
Epoch 9:  loss = 202.8905,  acc = 0.9213,  val_loss = 202.9910,  val_acc = 0.4344 
Epoch 10:  loss = 201.0860,  acc = 0.9954,  val_loss = 201.2444,  val_acc = 0.5176 
Epoch 11:  loss = 199.4609,  acc = 0.9954,  val_loss = 199.5650,  val_acc = 0.5570 
Epoch 12:  loss = 197.8551,  acc = 0.9954,  val_loss = 197.9247,  val_acc = 0.5769 
Epoch 13:  loss = 196.3150,  acc = 0.9815,  val_loss = 196.3341,  val_acc = 0.5809 
Epoch 14:  loss = 194.7049,  acc = 0.9815,  val_loss = 194.7478,  val_acc = 0.5917 
Epoch 15:  loss = 193.1249,  acc = 1.0000,  val_loss = 193.1721,  val_acc = 0.6020 
Epoch 16:  loss = 191.5630,  acc = 0.9954,  val_loss = 191.6241,  val_acc = 0.6070 
Epoch 17:  loss = 190.0305,  acc = 0.9954,  val_loss = 190.1036,  val_acc = 0.6048 
Epoch 18:  loss = 188.5259,  acc = 0.9861,  val_loss = 188.5850,  val_acc = 0.6009 
Epoch 19:  loss = 187.0394,  acc = 0.9907,  val_loss = 187.0560,  val_acc = 0.6107 
